fiscalDateEnding,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2024-02-29,USD,1918576000,15799514000,13880938000,10921045000,2046427000,2716633000,None,2959893000,65269000,-10305000,65269000,10305000,-26056000,-5652000,134997000,127851000,2061396000,386537000,10305000,1709202000,1644934000,2071701000,2199552000,1674859000,USD,51307471000,20328821000,5121107000,5125647000,1,11374099000,30978650000,1458836000,2730911000,20399865000,2452559000,17947306000,133841000,238934000,4540000,2122670000,3657585000,24184618000,16136014000,2228446000,6010992000,111141000,793694000,7215033000,2975805000,71635000,111141000,None,3158581000,1374109000,836889000,27122853000,8790812000,21151637000,72000,629016555,USD,2101043000,923645000,None,-1758517000,-244351000,262848000,109823000,-188896000,None,3804941000,-2208248000,-1865741000,None,1321846000,1321846000,None,812578000,812578000,None,None,None,None,-1036473000,None,None,None,1674859000,2024-03-21,2.77,2.66,0.11,4.1353,pre-market
2023-11-30,USD,2450237000,16224303000,13774066000,10776362000,2564887000,2743390000,None,2997704000,101980000,-14495000,101980000,14495000,-20280000,-35719000,133245000,114650000,2580116000,606672000,14495000,2009981000,2089330000,2594611000,2709261000,1973444000,USD,51531354000,23055576000,7140841000,7145438000,None,11467109000,28475778000,1467896000,2660216000,18380746000,2144304000,16236442000,125198000,198074000,4597000,2668779000,2882392000,24854603000,17280238000,2574700000,5094574000,104819000,788447000,6765679000,2933094000,42309000,104819000,None,830756000,1441090000,462530000,26676751000,8032018000,20429413000,72000,627996111,USD,498551000,563359000,None,-432985000,1519249000,247895000,68933000,836231000,836231000,4626634000,-855430000,-1551913000,0,1191128000,1191128000,None,810056000,810056000,None,None,None,None,-713694000,None,None,None,1973444000,2023-12-19,3.27,3.14,0.13,4.1401,pre-market
2023-08-31,USD,5181629000,15985200000,10803571000,10803571000,1912920000,2796826000,1298657000,4680020000,103627000,-17403000,103627000,17403000,-41235000,-40017000,173815000,112654000,1923878000,550915000,17403000,1408212000,1530785000,1941281000,2053935000,1372963000,USD,51245305000,23381931000,9045032000,9049607000,None,10690713000,27863374000,1530007000,2574685000,17645960000,2072957000,15573003000,23985000,197443000,4575000,2105138000,2811598000,25552466000,18009038000,2491173000,5561106000,104810000,795227000,6777674000,3001131000,43093000,104810000,None,147903000,1588678000,465024000,25692839000,7062512000,19316224000,72000,629922331,USD,3409388000,1356885000,None,760443000,-427897000,624678000,180294000,-497883000,-497883000,3321132000,-1367090000,-1480301000,0,1004553000,1004553000,None,706063000,706063000,None,None,None,None,-848121000,None,None,None,1372963000,2023-09-28,2.71,2.66,0.05,1.8797,pre-market
2023-05-31,USD,2255323000,16564585000,14309262000,11035515000,2359288000,2822909000,None,3273747000,81818000,-11208000,81818000,11208000,-72091000,201783000,165053000,103965000,2593342000,583346000,11208000,2048335000,2053343000,2604550000,2708515000,2009996000,USD,50128275000,23380073000,8535446000,8539928000,None,11005863000,26748202000,1534927000,2766344000,16400177000,1939083000,14461094000,69165000,176259000,4482000,2257485000,2808051000,24795844000,17092528000,2388474000,5788790000,10389000,700973000,6973818000,3041959000,43865000,10389000,None,3096213000,1580416000,539358000,25332431000,6127121000,18692118000,72000,631535162,USD,3289371000,455822000,None,641012000,149322000,269018000,141500000,51695000,51695000,4680016000,4991000,-972824000,0,788937000,788937000,None,707742000,707742000,None,None,None,None,-251921000,None,2321538000,None,2009996000,2023-06-22,3.19,3.04,0.15,4.9342,pre-market
2023-02-28,USD,1819233000,15814158000,13994925000,10979392000,1944581000,2645795000,None,3015533000,50259000,-11634000,38625000,11634000,7431000,-36300000,137742000,125348000,1919871000,396223000,11634000,1550683000,1635050000,1931505000,2056853000,1523648000,USD,47727289000,21060958000,6238787000,6242976000,1,10997530000,26666331000,1560691000,2694138000,16196602000,2005944000,14190658000,207302000,325251000,4189000,2318814000,2707460000,23964670000,16349522000,2470896000,5838662000,10815000,711385000,6920489000,3152531000,45155000,10815000,None,3208501000,1544993000,440970000,23762619000,5593010000,17500001000,72000,630845147,USD,2330111000,754989000,None,-1164336000,14157000,263090000,107548000,-250914000,-250914000,3497589000,-478297000,-1515341000,0,1118211000,1118211000,None,708022000,708022000,None,None,None,None,-776297000,None,336473000,None,1523648000,2023-03-23,2.69,2.5,0.19,7.6,pre-market
2022-11-30,USD,2481862000,15747802000,13265940000,10561660000,2593100000,2593042000,None,2704280000,44705000,-7280000,44705000,7280000,-29691000,-28907000,144049000,111238000,2570268000,605318000,7280000,1996300000,2099620000,2577548000,2688786000,1964950000,USD,47115774000,20672460000,5899703000,5903798000,1,11211048000,26443314000,1634074000,2575758000,15820700000,2030014000,13790686000,256740000,324382000,4095000,2158309000,2765867000,24141163000,16460246000,2417777000,5036650000,9430000,717293000,6989578000,3245495000,45122000,9430000,None,3300047000,1431329000,448444000,22974611000,5169967000,16981432000,72000,630137262,USD,495398000,563526000,None,-1143742000,971930000,255287000,98830000,609433000,609433000,4597918000,-782074000,-1676860000,0,1418702000,1418702000,None,705567000,705567000,None,None,None,None,-952995000,None,-1963536000,None,1964950000,2022-12-16,3.08,2.91,0.17,5.8419,pre-market
2022-08-31,USD,4946057000,15423656000,10477599000,10477599000,2268189000,2677868000,1123296000,3913636000,23087000,-12871000,23087000,12871000,-100813000,-33444000,152811000,112472000,2217704000,552576000,12871000,1692385000,1428932000,2230575000,2343047000,1665128000,USD,47263390000,21610871000,7889833000,7893806000,None,10484211000,25652519000,1659140000,2490187000,15064101000,1930808000,13133293000,164164000,317972000,3973000,1940290000,2667595000,25157293000,17523496000,2559485000,5190763000,9175000,55068000,6992806000,3270688000,0,9175000,None,55068000,1510925000,462233000,22106097000,6678037000,18203842000,72000,632095422,USD,3790110000,1291076000,None,1241532000,5959000,546152000,177051000,-182829000,-182829000,3960574000,-1408592000,-1101412000,0,605487000,605487000,None,613730000,613730000,None,None,None,None,-456274000,None,1280106000,None,1665128000,2022-09-22,2.6,2.57,0.03,1.1673,pre-market
2022-05-31,USD,2490833000,16158803000,13667970000,10844069000,2603118000,2711616000,None,2823901000,8727000,-12050000,8727000,12050000,-31285000,-8877000,150272000,112285000,2461383000,675308000,12050000,1819316000,1507414000,2473433000,2585718000,1786075000,USD,46095198000,21007740000,6703568000,6707890000,None,10816679000,25087458000,1665478000,2625468000,14320738000,1821295000,12499443000,256228000,331503000,4322000,2080776000,2537553000,24706104000,16562592000,2384352000,5295129000,8768000,742573000,7520883000,3428294000,51546000,8768000,None,3488608000,571185000,452792000,21389094000,6122402000,17177358000,72000,632749442,USD,3064655000,390218000,None,1197750000,909272000,262557000,194616000,794219000,794219000,4313940000,-666954000,-1103439000,0,972171000,972171000,None,613785000,613785000,None,None,None,None,-474197000,None,4464212000,None,1786075000,2022-06-23,2.94,2.85,0.09,3.1579,pre-market
2022-02-28,USD,1944392000,15046693000,13102301000,10522734000,2061580000,2462379000,None,2579567000,7269000,-11216000,7269000,11216000,-13048000,-7183000,149872000,117188000,2027863000,392921000,11216000,1657529000,1666693000,2039079000,2156267000,1634942000,USD,44317837000,19185130000,5466116000,5472147000,None,10342236000,25132707000,1656792000,2577785000,14271916000,1844093000,12427823000,319050000,336876000,6031000,2122107000,2610941000,23757814000,15540122000,2229221000,5409620000,9092000,737473000,7620736000,3491900000,52152000,9092000,None,3553144000,620907000,440369000,20560023000,5297349000,16028399000,72000,633956712,USD,2155493000,487252000,None,-436370000,821800000,267060000,164660000,446150000,None,3707979000,-272502000,-2036715000,0,1693354000,1693354000,None,616583000,616583000,None,None,None,None,-1400607000,None,3857851000,None,1634942000,2022-03-17,2.54,2.37,0.17,7.173,pre-market
2021-11-30,USD,2329670000,14965153000,12635483000,10048364000,2434294000,2482495000,None,2587119000,6050000,-11183000,5133000,11183000,-23479000,-23029000,138793000,104624000,2377426000,586402000,11183000,1819730000,1503285000,2388609000,2493233000,1791024000,USD,43674743000,18621652000,5637117000,5644085000,None,10032721000,25053091000,1654065000,2466716000,14341352000,1945448000,12395904000,287019000,325714000,6968000,1857166000,2690227000,23321544000,15232007000,2210163000,4707707000,9089000,747374000,7504078000,3412305000,55884000,9089000,None,3477278000,663246000,562928000,20353199000,4079625000,15110688000,72000,632280932,USD,530871000,387161000,None,-329340000,1604908000,243417000,181671000,1354195000,None,4225862000,-1912581000,-1069460000,0,845366000,845366000,None,613208000,613208000,None,None,None,None,-436236000,None,-2451170000,None,1791024000,2021-12-16,2.78,2.63,0.15,5.7034,pre-market
2021-08-31,USD,4466216000,13419284000,8953068000,8953068000,1958689000,2507527000,None,3707657000,9722000,-12977000,3255000,12977000,4000000,-37629000,134141000,81810000,1896630000,480382000,12977000,1437423000,1257508000,1909607000,1991417000,1416248000,USD,43175843000,19666511000,8168174000,8172468000,None,8796992000,23509332000,1639105000,2412449000,12836799000,1710938000,11125861000,378093000,329526000,4294000,1765831000,2455412000,23646389000,15708867000,2274057000,4929257000,12080000,65553000,7369862000,3441081000,0,12080000,None,65553000,1278136000,553839000,19529454000,3408491000,13988748000,72000,633546144,USD,2436432000,1265356000,None,472001000,260934000,514720000,236295000,159629000,None,3396112000,-2851316000,-1367785000,0,914648000,914648000,None,557930000,557930000,None,None,None,None,-788437000,None,3396112000,None,1416248000,2021-09-23,2.2,2.19,0.01,0.4566,pre-market
2021-05-31,USD,2024676000,13263795000,11239119000,8859411000,2118656000,2285728000,None,2379708000,4551000,-28739000,4551000,28739000,-13165000,-467000,124502000,93980000,2073855000,524429000,28739000,1569572000,1699107000,2102594000,2196574000,1549426000,USD,42124884000,21144858000,10009380000,10013813000,None,8637841000,20980026000,1538778000,2552204000,10361122000,1216809000,9144313000,344411000,327497000,4433000,1657604000,1843553000,22782039000,14929559000,1926910000,4929647000,9157000,742728000,7301361000,3377080000,61629000,9157000,None,3447866000,729499000,545994000,19342845000,4639423000,15004281000,72000,635203753,USD,2401150000,344477000,None,741403000,719787000,218482000,158212000,625060000,None,3661874000,-572688000,-1012368000,0,834995000,834995000,None,559070000,559070000,None,None,None,None,-442517000,None,3786376000,None,1549426000,2021-06-24,2.4,2.23,0.17,7.6233,pre-market
